2048 sets, 18s, hist {0: 3348, 1: 72}
4096 sets, 34s, hist {0: 6694, 1: 121}
6144 sets, 51s, hist {0: 10030, 1: 189}
8192 sets, 67s, hist {0: 13383, 1: 243, 2: 1}
10240 sets, 83s, hist {0: 16731, 1: 290, 2: 1}
12288 sets, 101s, hist {0: 20089, 1: 347, 2: 1}
14336 sets, 117s, hist {0: 23416, 1: 411, 2: 1}
16384 sets, 135s, hist {0: 26773, 1: 468, 2: 1}
18432 sets, 152s, hist {0: 30118, 1: 529, 2: 1}
20480 sets, 170s, hist {0: 33482, 1: 591, 2: 1}
22528 sets, 186s, hist {0: 36825, 1: 651, 2: 1}
24576 sets, 202s, hist {0: 40150, 1: 719, 2: 2}
26624 sets, 221s, hist {0: 43508, 1: 773, 2: 3}
28672 sets, 239s, hist {0: 46856, 1: 824, 2: 3}
30720 sets, 255s, hist {0: 50227, 1: 879, 2: 3}
32768 sets, 272s, hist {0: 53571, 1: 939, 2: 3}
34816 sets, 287s, hist {0: 56930, 1: 998, 2: 3}
36864 sets, 306s, hist {0: 60254, 1: 1074, 2: 3}
38912 sets, 323s, hist {0: 63598, 1: 1137, 2: 3}
40960 sets, 339s, hist {0: 66945, 1: 1190, 2: 3}
43008 sets, 357s, hist {0: 70300, 1: 1242, 2: 4}
45056 sets, 372s, hist {0: 73655, 1: 1299, 2: 5}
47104 sets, 387s, hist {0: 76970, 1: 1358, 2: 6}
49152 sets, 405s, hist {0: 80327, 1: 1419, 2: 7}
51200 sets, 421s, hist {0: 83678, 1: 1473, 2: 7}
53248 sets, 439s, hist {0: 87029, 1: 1526, 2: 8}
55296 sets, 456s, hist {0: 90377, 1: 1586, 2: 8}
57344 sets, 474s, hist {0: 93731, 1: 1637, 2: 8}
59392 sets, 489s, hist {0: 97074, 1: 1695, 2: 10}
61440 sets, 507s, hist {0: 100420, 1: 1762, 2: 10}
63488 sets, 525s, hist {0: 103762, 1: 1829, 2: 10}
65536 sets, 542s, hist {0: 107085, 1: 1896, 2: 11}
67584 sets, 557s, hist {0: 110426, 1: 1957, 2: 11}
69632 sets, 573s, hist {0: 113792, 1: 2010, 2: 11}
71680 sets, 588s, hist {0: 117133, 1: 2069, 2: 11}
73728 sets, 605s, hist {0: 120500, 1: 2122, 2: 11}
75776 sets, 622s, hist {0: 123849, 1: 2189, 2: 11}
77824 sets, 640s, hist {0: 127197, 1: 2243, 2: 12}
79872 sets, 657s, hist {0: 130538, 1: 2303, 2: 13}
81920 sets, 674s, hist {0: 133885, 1: 2365, 2: 13}
83968 sets, 692s, hist {0: 137252, 1: 2416, 2: 14}
86016 sets, 710s, hist {0: 140606, 1: 2471, 2: 15}
88064 sets, 728s, hist {0: 143954, 1: 2539, 2: 15}
90112 sets, 742s, hist {0: 147286, 1: 2606, 2: 15}
92160 sets, 758s, hist {0: 150624, 1: 2657, 2: 15}
94208 sets, 775s, hist {0: 153982, 1: 2715, 2: 15}
96256 sets, 790s, hist {0: 157305, 1: 2781, 2: 15}
98304 sets, 807s, hist {0: 160657, 1: 2838, 2: 15}
100352 sets, 824s, hist {0: 164018, 1: 2896, 2: 15}
102400 sets, 840s, hist {0: 167362, 1: 2957, 2: 15}
104448 sets, 855s, hist {0: 170692, 1: 3022, 2: 15}
106496 sets, 871s, hist {0: 174044, 1: 3086, 2: 15}
108544 sets, 888s, hist {0: 177388, 1: 3151, 2: 15}
110592 sets, 904s, hist {0: 180747, 1: 3191, 2: 15}
112640 sets, 921s, hist {0: 184104, 1: 3245, 2: 15}
114688 sets, 936s, hist {0: 187438, 1: 3306, 2: 15}
116736 sets, 952s, hist {0: 190802, 1: 3358, 2: 15}
118784 sets, 969s, hist {0: 194156, 1: 3418, 2: 15}
120832 sets, 985s, hist {0: 197500, 1: 3484, 2: 16}
122880 sets, 999s, hist {0: 200824, 1: 3569, 2: 16}
124928 sets, 1016s, hist {0: 204152, 1: 3642, 2: 17}
126976 sets, 1033s, hist {0: 207503, 1: 3698, 2: 17}
129024 sets, 1050s, hist {0: 210863, 1: 3747, 2: 17}
131072 sets, 1067s, hist {0: 214205, 1: 3820, 2: 18}
133120 sets, 1082s, hist {0: 217534, 1: 3878, 2: 18}
135168 sets, 1099s, hist {0: 220881, 1: 3949, 2: 20}
137216 sets, 1114s, hist {0: 224233, 1: 4008, 2: 20}
139264 sets, 1130s, hist {0: 227595, 1: 4074, 2: 20}
141312 sets, 1145s, hist {0: 230927, 1: 4138, 2: 20}
143360 sets, 1162s, hist {0: 234252, 1: 4197, 2: 20}
145408 sets, 1179s, hist {0: 237597, 1: 4261, 2: 20}
147456 sets, 1194s, hist {0: 240942, 1: 4310, 2: 21}
149504 sets, 1211s, hist {0: 244299, 1: 4365, 2: 21}
151552 sets, 1227s, hist {0: 247638, 1: 4418, 2: 21}
153600 sets, 1244s, hist {0: 250995, 1: 4477, 2: 22}
155648 sets, 1259s, hist {0: 254338, 1: 4542, 2: 22}
157696 sets, 1275s, hist {0: 257673, 1: 4605, 2: 24}
159744 sets, 1292s, hist {0: 261030, 1: 4649, 2: 24}
161792 sets, 1308s, hist {0: 264366, 1: 4704, 2: 25}
163840 sets, 1326s, hist {0: 267726, 1: 4759, 2: 25}
165888 sets, 1341s, hist {0: 271064, 1: 4829, 2: 25}
167936 sets, 1357s, hist {0: 274431, 1: 4888, 2: 25}
169984 sets, 1375s, hist {0: 277789, 1: 4942, 2: 26}
172032 sets, 1392s, hist {0: 281128, 1: 5013, 2: 27}
174080 sets, 1409s, hist {0: 284479, 1: 5082, 2: 27}
176128 sets, 1425s, hist {0: 287817, 1: 5135, 2: 27}
178176 sets, 1442s, hist {0: 291172, 1: 5192, 2: 27}
180224 sets, 1459s, hist {0: 294509, 1: 5249, 2: 29}
182272 sets, 1477s, hist {0: 297871, 1: 5301, 2: 29}
184320 sets, 1492s, hist {0: 301211, 1: 5366, 2: 29}
186368 sets, 1509s, hist {0: 304559, 1: 5421, 2: 30}
188416 sets, 1527s, hist {0: 307895, 1: 5485, 2: 33}
190464 sets, 1542s, hist {0: 311251, 1: 5541, 2: 33}
192512 sets, 1558s, hist {0: 314599, 1: 5598, 2: 33}
194560 sets, 1574s, hist {0: 317943, 1: 5662, 2: 33}
196608 sets, 1592s, hist {0: 321275, 1: 5734, 2: 34}
198656 sets, 1609s, hist {0: 324624, 1: 5792, 2: 34}
200704 sets, 1625s, hist {0: 327952, 1: 5859, 2: 34}
202752 sets, 1641s, hist {0: 331307, 1: 5916, 2: 34}
204800 sets, 1657s, hist {0: 334659, 1: 5960, 2: 35}
206848 sets, 1672s, hist {0: 337988, 1: 6035, 2: 35}
208896 sets, 1689s, hist {0: 341328, 1: 6100, 2: 36}
210944 sets, 1706s, hist {0: 344683, 1: 6155, 2: 36}
212992 sets, 1724s, hist {0: 348033, 1: 6212, 2: 37}
215040 sets, 1740s, hist {0: 351370, 1: 6279, 2: 37}
217088 sets, 1756s, hist {0: 354716, 1: 6344, 2: 37}
219136 sets, 1771s, hist {0: 358049, 1: 6400, 2: 37}
221184 sets, 1788s, hist {0: 361403, 1: 6456, 2: 37}
223232 sets, 1804s, hist {0: 364782, 1: 6507, 2: 39}
225280 sets, 1822s, hist {0: 368111, 1: 6572, 2: 39}
227328 sets, 1838s, hist {0: 371472, 1: 6627, 2: 40}
229376 sets, 1854s, hist {0: 374824, 1: 6687, 2: 40}
231424 sets, 1872s, hist {0: 378160, 1: 6753, 2: 41}
233472 sets, 1892s, hist {0: 381518, 1: 6820, 2: 41}
235520 sets, 1908s, hist {0: 384878, 1: 6876, 2: 42}
237568 sets, 1924s, hist {0: 388219, 1: 6934, 2: 42}
239616 sets, 1940s, hist {0: 391553, 1: 7002, 2: 42}
241664 sets, 1956s, hist {0: 394922, 1: 7053, 2: 42}
243712 sets, 1972s, hist {0: 398268, 1: 7106, 2: 42}
245760 sets, 1989s, hist {0: 401609, 1: 7169, 2: 42}
247808 sets, 2005s, hist {0: 404929, 1: 7237, 2: 43}
249856 sets, 2023s, hist {0: 408294, 1: 7290, 2: 43}
251904 sets, 2037s, hist {0: 411631, 1: 7346, 2: 43}
253952 sets, 2056s, hist {0: 414976, 1: 7405, 2: 43}
256000 sets, 2072s, hist {0: 418330, 1: 7473, 2: 43}
258048 sets, 2087s, hist {0: 421662, 1: 7533, 2: 43}
260096 sets, 2103s, hist {0: 425007, 1: 7598, 2: 43}
262144 sets, 2118s, hist {0: 428365, 1: 7648, 2: 43}
264192 sets, 2134s, hist {0: 431702, 1: 7710, 2: 43}
266240 sets, 2151s, hist {0: 435053, 1: 7772, 2: 43}
268288 sets, 2167s, hist {0: 438405, 1: 7822, 2: 43}
270336 sets, 2184s, hist {0: 441759, 1: 7887, 2: 43}
272384 sets, 2201s, hist {0: 445124, 1: 7943, 2: 43}
274432 sets, 2217s, hist {0: 448459, 1: 7998, 2: 43}
276480 sets, 2232s, hist {0: 451805, 1: 8059, 2: 43}
278528 sets, 2248s, hist {0: 455149, 1: 8120, 2: 43}
280576 sets, 2263s, hist {0: 458470, 1: 8190, 2: 43}
282624 sets, 2281s, hist {0: 461815, 1: 8247, 2: 45}
284672 sets, 2297s, hist {0: 465150, 1: 8319, 2: 45}
286720 sets, 2313s, hist {0: 468488, 1: 8381, 2: 46}
288768 sets, 2329s, hist {0: 471833, 1: 8442, 2: 46}
290816 sets, 2346s, hist {0: 475171, 1: 8504, 2: 47}
292864 sets, 2362s, hist {0: 478527, 1: 8569, 2: 48}
294912 sets, 2379s, hist {0: 481899, 1: 8613, 2: 48}
296960 sets, 2395s, hist {0: 485236, 1: 8679, 2: 49}
299008 sets, 2411s, hist {0: 488609, 1: 8733, 2: 50}
301056 sets, 2425s, hist {0: 491927, 1: 8798, 2: 51}
303104 sets, 2442s, hist {0: 495305, 1: 8843, 2: 51}
305152 sets, 2458s, hist {0: 498667, 1: 8905, 2: 51}
307200 sets, 2475s, hist {0: 502007, 1: 8961, 2: 51}
309248 sets, 2492s, hist {0: 505359, 1: 9021, 2: 51}
311296 sets, 2507s, hist {0: 508705, 1: 9084, 2: 52}
313344 sets, 2525s, hist {0: 512040, 1: 9152, 2: 53}
315392 sets, 2544s, hist {0: 515406, 1: 9204, 2: 53}
317440 sets, 2559s, hist {0: 518756, 1: 9264, 2: 53}
319488 sets, 2575s, hist {0: 522096, 1: 9318, 2: 53}
