64 sets 33s hist {0: 35, 1: 20, 2: 8, 3: 1}
128 sets 63s hist {0: 72, 1: 40, 2: 15, 3: 1}
192 sets 95s hist {0: 105, 1: 64, 2: 22, 3: 1}
256 sets 127s hist {0: 145, 1: 84, 2: 26, 3: 1}
320 sets 159s hist {0: 184, 1: 103, 2: 32, 3: 1}
384 sets 189s hist {0: 222, 1: 123, 2: 38, 3: 1}
448 sets 220s hist {0: 256, 1: 143, 2: 48, 3: 1}
512 sets 251s hist {0: 295, 1: 162, 2: 54, 3: 1}
576 sets 283s hist {0: 333, 1: 182, 2: 60, 3: 1}
640 sets 313s hist {0: 371, 1: 200, 2: 68, 3: 1}
704 sets 344s hist {0: 410, 1: 221, 2: 72, 3: 1}
768 sets 374s hist {0: 446, 1: 243, 2: 78, 3: 1}
832 sets 404s hist {0: 481, 1: 267, 2: 83, 3: 1}
896 sets 431s hist {0: 521, 1: 285, 2: 89, 3: 1}
960 sets 463s hist {0: 558, 1: 305, 2: 96, 3: 1}
1024 sets 494s hist {0: 590, 1: 330, 2: 103, 3: 1}
1088 sets 532s hist {0: 630, 1: 347, 2: 110, 3: 1}
1152 sets 582s hist {0: 662, 1: 371, 2: 118, 3: 1}
1216 sets 630s hist {0: 701, 1: 391, 2: 123, 3: 1}
1280 sets 678s hist {0: 738, 1: 411, 2: 130, 3: 1}
1344 sets 737s hist {0: 775, 1: 432, 2: 136, 3: 1}
1408 sets 803s hist {0: 812, 1: 453, 2: 142, 3: 1}
1472 sets 869s hist {0: 852, 1: 470, 2: 149, 3: 1}
1536 sets 935s hist {0: 888, 1: 489, 2: 158, 3: 1}
1600 sets 999s hist {0: 925, 1: 506, 2: 168, 3: 1}
1664 sets 1064s hist {0: 962, 1: 526, 2: 175, 3: 1}
1728 sets 1127s hist {0: 999, 1: 548, 2: 180, 3: 1}
1792 sets 1178s hist {0: 1040, 1: 567, 2: 184, 3: 1}
1856 sets 1242s hist {0: 1077, 1: 587, 2: 191, 3: 1}
1920 sets 1308s hist {0: 1111, 1: 613, 2: 194, 3: 2}
1984 sets 1375s hist {0: 1145, 1: 635, 2: 202, 3: 2}
